country,size,count
maldives,51-200,103
maldives,201-500,68
maldives,11-50,228
maldives,1001-5000,15
maldives,10001+,2
maldives,5001-10000,1
mali,1-10,131
mali,11-50,97
mali,51-200,44
mali,501-1000,6
mali,201-500,20
mali,1001-5000,4
mali,5001-10000,1
malta,1-10,1000
malta,1001-5000,15
malta,11-50,775
malta,501-1000,23
malta,201-500,77
malta,51-200,289
malta,10001+,2
malta,5001-10000,2
marshall islands,11-50,16
marshall islands,51-200,10
marshall islands,501-1000,2
marshall islands,1-10,9
marshall islands,201-500,1
martinique,51-200,71
martinique,11-50,175
martinique,1-10,291
martinique,5001-10000,1
martinique,201-500,19
martinique,501-1000,9
martinique,1001-5000,5
martinique,10001+,1
mauritania,201-500,12
mauritania,51-200,19
mauritania,11-50,32
mauritania,1-10,43
mauritania,1001-5000,3
mauritania,501-1000,5
mauritius,10001+,5
mauritius,11-50,622
mauritius,1-10,807
mauritius,51-200,278
mauritius,501-1000,38
mauritius,201-500,106
mauritius,1001-5000,39
mauritius,5001-10000,8
mayotte,11-50,16
mayotte,1-10,20
mayotte,10001+,1
mayotte,51-200,2
mexico,1-10,27110
mexico,1001-5000,1240
mexico,10001+,323
mexico,11-50,27721
mexico,501-1000,1555
mexico,201-500,3795
mexico,5001-10000,273
mexico,51-200,11334
micronesia,1-10,8
micronesia,51-200,8
micronesia,11-50,7
micronesia,501-1000,1
micronesia,1001-5000,2
micronesia,201-500,2
moldova,201-500,46
moldova,51-200,117
moldova,1-10,337
moldova,501-1000,20
moldova,1001-5000,8
moldova,11-50,291
moldova,10001+,3
monaco,501-1000,11
monaco,10001+,2
monaco,1001-5000,13
monaco,1-10,538
monaco,11-50,327
monaco,201-500,25
monaco,51-200,91
monaco,5001-10000,2
mongolia,201-500,47
mongolia,51-200,141
mongolia,1-10,229
mongolia,501-1000,21
mongolia,11-50,276
mongolia,1001-5000,30
mongolia,5001-10000,6
mongolia,10001+,3
montenegro,501-1000,18
montenegro,201-500,45
montenegro,1-10,503
montenegro,10001+,4
montenegro,1001-5000,21
montenegro,11-50,273
montenegro,51-200,153
montenegro,5001-10000,1
montserrat,1-10,4
montserrat,11-50,2
montserrat,201-500,1
morocco,10001+,42
morocco,51-200,1088
morocco,11-50,2894
morocco,1001-5000,143
morocco,5001-10000,42
morocco,201-500,416
morocco,501-1000,176
morocco,1-10,3826
mozambique,11-50,350
mozambique,51-200,177
mozambique,501-1000,21
mozambique,1-10,501
mozambique,1001-5000,23
mozambique,201-500,75
mozambique,10001+,1
mozambique,5001-10000,2
